City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,invercargill,-46.4,168.35,5.57,98,100,4.47,NZ,1722228643
83,nova vicosa,-17.8919,-39.3719,21.81,82,26,2.68,BR,1722229072
84,lerwick,60.1545,-1.1494,14.0,88,100,7.04,GB,1722229073
85,yuzhno-kurilsk,44.0306,145.8556,16.31,99,100,7.02,RU,1722229074
86,shantobe,52.4581,68.1839,17.46,60,73,6.73,KZ,1722228940
87,ancud,-41.8697,-73.8203,2.45,86,50,3.2,CL,1722229077
88,hiriyur,13.9456,76.6192,26.76,69,99,11.29,IN,1722229078
89,hotan,37.0997,79.9269,39.2,8,0,3.89,CN,1722229079
90,terenos,-20.4422,-54.8603,22.84,37,0,3.09,BR,1722229080
91,naze,28.3667,129.4833,30.51,73,59,1.72,JP,1722229081
92,nova sintra,14.8667,-24.7167,25.23,78,88,6.4,CV,1722229082
93,marquette,46.5333,-87.6335,22.8,86,85,2.24,US,1722229084
94,akureyri,65.6835,-18.0878,11.96,76,75,2.06,IS,1722229085
95,kismayo,-0.3582,42.5454,25.89,77,10,6.07,SO,1722229086
96,amasra,41.7463,32.3863,24.32,42,0,1.3,TR,1722229088
97,assab,13.0092,42.7394,31.92,69,85,7.12,ER,1722229090
98,conception bay south,47.4999,-52.9981,19.47,90,36,7.59,CA,1722229091
99,hermoso campo,-27.6082,-61.3444,12.75,65,69,5.59,AR,1722229092
100,ta`u,-14.2336,-169.5144,24.59,65,65,9.57,AS,1722229093
101,puerto ayora,-0.7393,-90.3518,19.75,89,56,0.45,EC,1722228616
102,bredasdorp,-34.5322,20.0403,5.96,83,65,3.63,ZA,1722228649
103,belmonte,-15.8631,-38.8828,21.94,90,60,1.5,BR,1722229097
104,codrington,-38.2667,141.9667,13.01,64,37,4.06,AU,1722229098
105,qaqortoq,60.7167,-46.0333,4.11,85,18,1.69,GL,1722229100
106,iqaluit,63.7506,-68.5145,3.85,86,75,2.57,CA,1722228622
107,puerto baquerizo moreno,-0.9,-89.6,19.81,83,58,4.6,EC,1722228431
108,port mathurin,-19.6833,63.4167,22.14,76,48,6.11,MU,1722228688
109,gevrai,19.2667,75.75,25.02,83,100,6.88,IN,1722229105
110,birzebbuga,35.8258,14.5269,24.53,88,0,1.54,MT,1722229106
111,tingi,-11.3,35.0333,15.81,37,1,1.34,TZ,1722229107
112,rovaniemi,66.5,25.7167,15.67,94,40,1.54,FI,1722229108
113,jamestown,42.097,-79.2353,20.77,81,0,0.89,US,1722229002
114,stanley,54.868,-1.6985,11.51,95,0,1.03,GB,1722228596
115,sao jose da coroa grande,-8.8978,-35.1478,23.8,86,2,3.77,BR,1722229112
116,tucurui,-3.7661,-49.6725,22.46,61,8,0.6,BR,1722229113
117,korla,41.7597,86.1469,36.35,15,88,1.38,CN,1722229114
118,neka,36.6508,53.299,22.73,94,100,5.14,IR,1722229115
119,udachny,66.4167,112.4,16.64,56,97,8.79,RU,1722228570
120,kulhudhuffushi,6.6221,73.07,28.29,81,100,8.06,MV,1722229118
121,atafu village,-8.5421,-172.5159,27.69,76,83,8.59,TK,1722229119
122,kapa'a,22.0752,-159.319,26.18,74,100,6.69,US,1722228432
123,isafjordur,66.0755,-23.124,7.78,97,100,2.34,IS,1722229121
124,avarua,-21.2078,-159.775,22.03,68,40,4.12,CK,1722228635
125,meadow lakes,61.6247,-149.6011,15.04,81,100,1.54,US,1722229124
126,alofi,-19.0595,-169.9187,21.94,56,40,7.72,NU,1722229125
127,jamaame,0.0697,42.745,26.43,72,15,5.14,SO,1722229126
128,lumut,4.2323,100.6298,30.01,70,20,2.06,MY,1722229060
129,galesong,-5.3166,119.3661,32.01,65,0,6.08,ID,1722229128
130,nyurba,63.2842,118.3319,21.21,78,65,2.61,RU,1722229129
131,remire-montjoly,4.9167,-52.2667,24.02,94,27,1.03,GF,1722229131
132,n'zeto,-7.2312,12.8666,19.92,89,100,0.94,AO,1722229132
133,tromso,69.6496,18.957,12.01,87,75,0.0,NO,1722229133
134,antsiranana,-12.2787,49.2917,22.42,64,20,3.09,MG,1722229134
135,papatowai,-46.5619,169.4708,5.53,98,100,8.9,NZ,1722228637
136,college,64.8569,-147.8028,17.26,74,90,1.3,US,1722228572
137,rosarito,32.3333,-117.0333,20.82,76,0,3.89,MX,1722229138
138,laguna,38.421,-121.4238,23.75,60,0,4.12,US,1722229139
139,guarapari,-20.6667,-40.4975,22.72,85,0,4.9,BR,1722229140
140,urangan,-25.3,152.9,20.29,33,0,2.1,AU,1722229141
141,maba,24.6841,113.5984,29.99,79,89,1.09,CN,1722229142
142,mwene-ditu,-7.0,23.45,17.79,24,25,1.74,CD,1722229144
143,dudinka,69.4058,86.1778,26.33,41,67,4.68,RU,1722229145
144,lihue,21.9789,-159.3672,25.77,75,100,6.69,US,1722228684
145,elko,41.0002,-115.5012,21.01,19,0,2.16,US,1722229147
146,shiqian,27.5225,108.2281,24.18,97,100,1.35,CN,1722229148
147,sinabang,2.4803,96.3801,30.22,66,100,2.56,ID,1722229149
148,greci,45.1833,28.2333,24.16,56,0,8.04,RO,1722229151
149,pajok,3.8651,32.4821,20.84,90,100,1.06,SS,1722229152
150,ha'il,27.5219,41.6907,31.01,23,0,3.09,SA,1722229153
151,altay,47.8667,88.1167,31.47,19,95,2.9,CN,1722229154
152,thompson,55.7435,-97.8558,17.09,82,40,1.03,CA,1722229155
153,thunder bay,48.4001,-89.3168,21.99,88,40,2.57,CA,1722229157
154,rongelap,11.1635,166.8941,28.43,73,54,5.07,MH,1722228738
155,vila velha,-20.3297,-40.2925,22.97,84,0,4.12,BR,1722228637
156,neiafu,-18.65,-173.9833,23.38,60,20,7.2,TO,1722229160
157,kodiak,57.79,-152.4072,11.73,94,100,2.06,US,1722228690
158,petauke,-14.2426,31.3253,15.48,20,0,1.2,ZM,1722229162
159,utrik,11.2278,169.8474,25.21,94,88,6.8,MH,1722229164
160,molde,62.7375,7.1591,13.28,88,100,3.09,NO,1722229165
161,hamilton,39.1834,-84.5333,23.92,93,75,3.6,US,1722229083
162,arauco,-37.2463,-73.3175,4.96,49,8,1.29,CL,1722229167
163,tiksi,71.6872,128.8694,3.58,89,100,5.2,RU,1722228624
164,korsakov,46.6328,142.7813,23.91,87,100,2.24,RU,1722229171
165,bubaque,11.2833,-15.8333,26.47,82,100,2.8,GW,1722229172
166,hawaiian paradise park,19.5933,-154.9731,25.73,78,100,2.57,US,1722228665
167,arraias,-12.9288,-46.9437,20.16,45,3,1.86,BR,1722229174
168,fale old settlement,-9.3852,-171.2468,27.13,77,97,8.81,TK,1722228658
169,ashta,23.0167,76.7167,27.44,86,95,0.75,IN,1722229177
170,malango,-2.9627,119.9001,27.62,65,55,2.27,ID,1722229178
171,khovd,48.0056,91.6419,29.76,24,66,3.05,MN,1722229179
172,alaca,40.1683,34.8425,17.98,51,0,3.0,TR,1722229180
173,granada,37.25,-3.25,23.5,41,100,1.56,ES,1722229181
174,georgetown,5.4112,100.3354,30.96,58,20,3.09,MY,1722229182
175,aykhal,66.0,111.5,16.19,64,96,9.52,RU,1722229184
176,whitehorse,60.7161,-135.0538,17.79,47,20,5.66,CA,1722229185
177,karaton,-6.3424,106.1045,33.84,41,55,0.9,ID,1722229186
